endTime,artistName,trackName,msPlayed
2023-07-16 09:47,Karan Aujla,On Top,40201
2023-07-16 09:47,Chani Nattan,Daku,6819
2023-07-16 09:47,Sidhu Moose Wala,Never Fold,5171
2023-07-16 09:47,Davy,Dekhya Kite,2879
2023-07-16 09:48,Prem Dhillon,Silicone,7269
2023-07-16 09:51,Bir,Afterhours,180172
2023-07-16 09:52,Prince Narula,Todh,127696
2023-07-16 09:53,Kaka,Shape,700
2023-07-16 09:53,Jordan Sandhu,Tu Te Sharab,8307
2023-07-16 09:53,Arjan Dhillon,Night Out,3290
2023-07-16 09:53,Sidhu Moose Wala,Mera Na,4435
2023-07-16 09:53,JERRY,Showstopper,2544
2023-07-16 09:53,Zehr Vibe,Gall Khaas,2300
2023-07-16 09:53,Jasmine Sandlas,Ittar,10604
2023-07-16 09:53,Navaan Sandhu,Hood Famous,1737
2023-07-16 09:53,Riar Saab,Obsessed,2510
2023-07-16 09:56,Diljit Dosanjh,Peaches (feat. Anne-Marie),164814
2023-07-16 09:58,HUSTINDER,Nachdi To'n,627
2023-07-16 09:58,Karan Aujla,Take It Easy,127846
2023-07-16 09:58,The PropheC,Dilawara,2229
2023-07-16 09:59,Arjan Dhillon,Setting,43308
2023-07-16 09:59,Guru Randhawa,Moon Rise,6572
2023-07-16 09:59,Khan Bhaini,Naam Sunuga,3920
2023-07-16 09:59,Arjan Dhillon,Salute,5591
2023-07-16 09:59,Ammy Virk,Solid,5713
2023-07-16 10:00,Karan Aujla,P.O.V (Point of View),9675
2023-07-16 10:00,Karan Aujla,Wytb,24829
2023-07-16 10:01,Arjan Dhillon,25-25,5880
2023-07-16 10:01,Karan Aujla,Gangsta,57282
2023-07-16 10:01,Jaura Phagwara,Sarkar,8365
2023-07-16 10:01,Arjan Dhillon,Trucker,4283
2023-07-16 10:01,Ammy Virk,Chann Sitare,2262
2023-07-16 10:02,Navaan Sandhu,Hirni,5100
2023-07-16 10:02,Sidhu Moose Wala,Athra Style,11693
2023-07-16 10:02,AP Dhillon,Summer High,21355
2023-07-16 10:03,AP Dhillon,DESIRES,1297
2023-07-16 10:03,Sidhu Moose Wala,Love Sick,548
2023-07-16 10:03,Arjan Dhillon,Jawani,75693
2023-07-16 10:04,Arjan Dhillon,Mandeer,297
2023-07-16 10:04,Sidhu Moose Wala,Everybody Hurts,1844
2023-07-16 10:04,Bhalwaan,Sift,14430
2023-07-16 10:04,Jordan Sandhu,Black Effect,3525
2023-07-16 10:04,AP Dhillon,TERE TE,1290
